index,Key,Year,subject,bat_species,Bat_names (following current nomemclature),Bat Family,Virus,Virus Family,Bioregions,BIOG-Support
64,9PETUGNS,2016,cells,Epomops buettikoferi,Epomops buettikoferi,Pteropodidae,IAV,Orthomyxoviridae,Y,can be argue to be a cosmopolitan virus
65,9PETUGNS,2016,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IAV,Orthomyxoviridae,Y,Found in stenodermatinae in brazil
66,9PETUGNS,2016,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IAV,Orthomyxoviridae,Y,Found in stenodermatinae in brazil
67,9PETUGNS,2016,cells,Rhinolophus landeri,Rhinolophus landeri,Rhinolophidae,IAV,Orthomyxoviridae,Y,can be argue to be a cosmopolitan virus
68,9PETUGNS,2016,cells,Hypsignathus monstrosus,Hypsignathus monstrosus,Pteropodidae,IAV,Orthomyxoviridae,Y,can be argue to be a cosmopolitan virus
69,9PETUGNS,2016,cells,Tadarida brasiliensis,Tadarida brasiliensis,Molossidae,IAV,Orthomyxoviridae,Y,circulation in LA
70,TFNLAD8A,2021,cells,Sturnira lilium,Sturnira parvidens,Phyllostomidae,IDV,Orthomyxoviridae,Y,"Not in Bats, but circulation in LA"
71,TFNLAD8A,2021,cells,Sturnira lilium,Sturnira parvidens,Phyllostomidae,IAV,Orthomyxoviridae,Y,circulation in LA
72,TFNLAD8A,2021,cells,Sturnira lilium,Sturnira parvidens,Phyllostomidae,SARS-CoV-2,Coronaviridae,Y,circulating in areas where the bat is endemic
73,TFNLAD8A,2021,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IDV,Orthomyxoviridae,Y,same region https://www.mdpi.com/1999-4915/15/12/2433
74,TFNLAD8A,2021,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,IAV,Orthomyxoviridae,Y,Found in stenodermatinae in brazil
75,TFNLAD8A,2021,cells,Carollia perspicillata,Carollia perspicillata,Phyllostomidae,SARS-CoV-2,Coronaviridae,Y,circulating in areas where the bat is endemic
76,3WJS96N6,2020,cells,Mops condylurus,Mops condylurus,Molossidae,EBOV,Filoviridae,Y,seropositivity
77,3WJS96N6,2020,cells,Nyctalus noctula,Nyctalus noctula,Vespertilionodae,EBOV,Filoviridae,N,
78,LSBVFUKD,2014,cells,Pteropus alecto,Pteropus alecto,Pteropodidae,HeV,Paramyxoviridae,Y,https://www.publish.csiro.au/ZO/ZO12126
79,5AZXAA9G,2014,cells,Rousettus aegyptiacus,Rousettus aegyptiacus,Pteropodidae,RVFV,Phlebovirus,Y,circulating in areas where the bat is endemic
